feature_number,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level.x,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,chemical composition,DayNight,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,number_exudate_organisms,Organism,lability,Experiment,Replicate,Timepoint,ra,color,inchi_key,inchi_string,inchi_1,inchi_2,inchi_3,inchi_4,inchi_5,inchi_6,inchi_7,inchi_8,level.y,classification
10003,324,Carbonyl compounds,N/A,Carbonyl compounds,0.82,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,20,37,1,9,0,0,-0.7999999999999998,83.1,3,N/A,CHON,Night,NA,NA,0.005283271464240732,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,1,Exudate,8.955743743856917e-5,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,324,Carbonyl compounds,N/A,Carbonyl compounds,0.82,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,20,37,1,9,0,0,-0.7999999999999998,83.1,3,N/A,CHON,Night,NA,NA,0.005283271464240732,NA,NA,1,Pocillopora verrucosa,labile,dorcierr,2,Exudate,1.2147517754056616e-4,#3B9AB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10042,5231,Primary amines,N/A,Primary amines,0.98,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Bad quality,13,36,9,4,1,0,-0.4615384615384617,73.45384615384616,3,N/A,uncharacterized,Night,NA,NA,NA,NA,0.003499545397860499,1,Turf,labile,dorcierr,1,Exudate,5.5163591918648096e-5,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10042,5231,Primary amines,N/A,Primary amines,0.98,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Bad quality,13,36,9,4,1,0,-0.4615384615384617,73.45384615384616,3,N/A,uncharacterized,Night,NA,NA,NA,NA,0.003499545397860499,1,Turf,labile,dorcierr,2,Exudate,3.658322809086564e-5,#F21A00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10312,80,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,20,34,0,9,0,0,-0.7999999999999998,83.1,3,N/A,CHO,Night,NA,NA,NA,1.9968227111457178e-4,NA,1,Porites lobata,labile,dorcierr,1,Exudate,0.0028967329247600285,darkblue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10312,80,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,20,34,0,9,0,0,-0.7999999999999998,83.1,3,N/A,CHO,Night,NA,NA,NA,1.9968227111457178e-4,NA,1,Porites lobata,labile,dorcierr,2,Exudate,0.002654126434920669,darkblue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10632,165,Euphorbiasteroid,2,Carboxylic acid derivatives,0.98,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,18,26,0,5,0,0,-0.8888888888888893,85.63333333333334,2,"InChI=1S/C32H40O8/c1-18-14-24-23(30(24,5)6)12-13-31(17-37-31)29(38-20(3)33)26-27(39-25(35)15-22-10-8-7-9-11-22)19(2)16-32(26,28(18)36)40-21(4)34/h7-11,14,19,23-24,26-27,29H,12-13,15-17H2,1-6H3/b18-14-/t19-,23-,24+,26+,27-,29-,31+,32+/m0/s1",CHO,Night,NA,0,NA,NA,NA,1,Dictyota,labile,dorcierr,1,Exudate,0.0017277919386508966,darkblue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10632,165,Euphorbiasteroid,2,Carboxylic acid derivatives,0.98,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,18,26,0,5,0,0,-0.8888888888888893,85.63333333333334,2,"InChI=1S/C32H40O8/c1-18-14-24-23(30(24,5)6)12-13-31(17-37-31)29(38-20(3)33)26-27(39-25(35)15-22-10-8-7-9-11-22)19(2)16-32(26,28(18)36)40-21(4)34/h7-11,14,19,23-24,26-27,29H,12-13,15-17H2,1-6H3/b18-14-/t19-,23-,24+,26+,27-,29-,31+,32+/m0/s1",CHO,Night,NA,0,NA,NA,NA,1,Dictyota,labile,dorcierr,2,Exudate,0.0016205130524781152,darkblue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10671,21,"trans-2-Butene-1,4-dicarboxylic acid",2,Amines,0.96,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,14,27,1,4,0,0,-1.1428571428571432,92.87142857142858,2,"InChI=1S/C6H8O4/c7-5(8)3-1-2-4-6(9)10/h1-2H,3-4H2,(H,7,8)(H,9,10)/b2-1+",CHON,Night,NA,6.688474332540958e-9,NA,NA,NA,1,Dictyota,labile,dorcierr,1,Exudate,1.7522226545342774e-4,#3B9AB2,YHGNXQAFNHCBTK-OWOJBTEDSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acids and conjugates;Medium-chain fatty acids;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,"NA","NA","NA",5,Medium-chain fatty acids
10671,21,"trans-2-Butene-1,4-dicarboxylic acid",2,Amines,0.96,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,14,27,1,4,0,0,-1.1428571428571432,92.87142857142858,2,"InChI=1S/C6H8O4/c7-5(8)3-1-2-4-6(9)10/h1-2H,3-4H2,(H,7,8)(H,9,10)/b2-1+",CHON,Night,NA,6.688474332540958e-9,NA,NA,NA,1,Dictyota,labile,dorcierr,2,Exudate,1.8513116129106078e-4,#3B9AB2,YHGNXQAFNHCBTK-OWOJBTEDSA-N,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acids and conjugates;Medium-chain fatty acids;NA;NA;NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,"NA","NA","NA",5,Medium-chain fatty acids
